00001670 00001689 @__security_check_cookie@4
00001689 000016C4 __SEH_prolog
000016C4 000016D5 __SEH_epilog
000016DA 000016F5 ??0CLock@@QAE@AAVCMutexSem@@@Z
000016FA 00001768 __CRT_INIT@12
0000176D 00001782 _PrxDllMain@12
00001787 000017F6 __DllMainCRTStartup@12
000017FB 00001872 _DllMain@12
00001877 000018BE _TlsDllMain@12
000018D0 00001908 ?EnsureFeatureCache@@YGXH@Z
0000190D 0000193E ??0CUrlMkTls@@QAE@AAJ@Z
00001943 00001993 ?TLSAllocData@CUrlMkTls@@AAEJXZ
00001998 000019B0 __initptd
000019B5 00001A25 _calloc
00001A98 00001B3F ?DoThreadCleanup@@YGXH@Z
00001B6C 00001C55 __freeptd
00001C75 00001CAA _free
00001CC1 00001CD8 __unlock
00001CDD 00001D01 __lock
00001D06 00001D38 ?GetTS@@YGPAUURLMON_TS@@K@Z
000027C0 00002816 _CoInternetIsFeatureEnabled@8
0000281B 0000284C ??2@YAPAXI@Z
00002851 00002864 ?Close@CRegKey@@QAEJXZ
00002869 000028AF ?Open@CRegKey@@QAEJPAXPBGK@Z
00002971 0000297D ?DllAddRef@@YGXXZ
00002982 00002988 ?IsZonesInitialized@@YGHXZ
0000298D 000029AB ??0CExclusiveLock@@QAE@PAX@Z
000029B0 000029CE ?GetPtr@CSharedMem@@QAEPAXK@Z
00002A0B 00002A21 ??3@YAXPAX@Z
00002A26 00002A67 ?Flush@CSecMgrCache@CSecurityManager@@QAEXXZ
00002A6C 00002AB4 ?Flush@CSecMgrCacheEntry@CSecMgrCache@CSecurityManager@@QAEXXZ
00002AB9 00002BE3 ?CanUseSimpleBinding@@YGHXZ
00002D01 00002D3A ?W2A@@YGXPBGPADHK@Z
00002D9D 00002DDD ?IsKnownProtocol@@YGKPBG@Z
00002E31 00002E47 ?AddRef@CZoneIdentifier@@UAGKXZ
00002E4C 00002EA8 ?GetCOInetSession@@YGJKPAPAVCOInetSession@@K@Z
00002EBF 00002EC5 _GetModuleHandleWrapW@4
00002EEC 00002EF8 _DllCanUnloadNow@0
00002EF8 00002F2B __chkstk
00002F37 00002F60 ?Release@CUrlClsFact@@UAGKXZ
00002F65 00002F9C ?Detach@CRegZoneContainer@@QAEHXZ
00002FA1 00002FC2 ??_GCRegZone@@QAEPAXI@Z
00002FC7 00002FE5 ??1CRegZone@@QAE@XZ
00002FEA 00003039 ?QueryValue@CRegKey@@QAEJPAKPBG@Z
000030C4 000030E2 ?MapUrlToZone@CSecurityManager@@UAGJPBGPAKK@Z
000030E7 00003102 _CoInternetCreateSecurityManager@12
000031AD 000031C3 ?AddRef@CModalLoop@@UAGKXZ
000031C8 000031DD ?AddRef@CSecurityManager@@UAGKXZ
000031E2 00003204 ?Release@CPrivUnknown@CSecurityManager@@UAGKXZ
00003209 0000321E ?Release@CUrlZoneManager@@UAGKXZ
00003223 00003238 ?DllRelease@@YGXXZ
0000325D 0000327E ??_ECSecurityManager@@UAEPAXI@Z
00003283 000032EA ??1CSecurityManager@@UAE@XZ
000032EF 000032FE ??1CPersistAnswers@CSecurityManager@@QAE@XZ
00003315 00003366 ?CreateInstance@CUrlClsFact@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00003437 000034E9 _InternetCreateSecurityManager@16
000034EE 000035CF ??0CSecurityManager@@QAE@PAUIUnknown@@PAPAU1@@Z
000036E5 00003731 ?Initialize@CUrlZoneManager@@UAEHXZ
00003755 0000379F ??0CUrlZoneManager@@QAE@PAUIUnknown@@PAPAU1@@Z
000037A4 0000383F _InternetCreateZoneManager@16
00003976 000039E8 ?ProcessUrlActionExInternal@CSecurityManager@@AAGJPBGKPAEK1KKKPAK@Z
000039ED 00003A5B ?EnsureZoneManager@CSecurityManager@@IAEHXZ
00003A60 00003AB1 ?ProcessUrlAction@CSecurityManager@@UAGJPBGKPAEK1KKK@Z
00003ADB 00003B0B ?Release@CPrivUnknown@CUrlZoneManager@@UAGKXZ
00003B10 00003B31 ??_ECUrlZoneManager@@UAEPAXI@Z
00003B36 00003B4F ??1CUrlZoneManager@@UAE@XZ
00003B54 00003B98 ?IsCounterEqual@CSecMgrCache@CSecurityManager@@IBEHXZ
00003B9D 00003C38 ?MapUrlToZoneInternal@CSecurityManager@@IAEJPBGPAKKPAPAG1@Z
00003C3D 00003CC3 ?FindCacheEntry@CSecMgrCache@CSecurityManager@@IAEHPBGAAH@Z
00003CC8 00003DBC ?Lookup@CSecMgrCache@CSecurityManager@@QAEHPBGKPAKPAW4TRIBIT@@PAE10PAPAG@Z
00003DE8 00003E23 ?GetAggregateAction@CRegZone@@KGHKPAK@Z
00003E28 00003E40 ?UseHKLM@CRegZone@@IBEHW4_URLZONEREG@@@Z
00003E45 00003E90 ?IsCounterEqual@CRegZoneCache@CRegZone@@IBEHXZ
00003E95 00003EF9 ?GetActionPolicy@CRegZone@@QBGJKW4_URLZONEREG@@AAK@Z
00003EFE 00003F8F ?Lookup@CRegZoneCache@CRegZone@@QAEHKPBG0KHPAK@Z
00003F94 00003FEF ?FindCacheEntry@CRegZoneCache@CRegZone@@IAEHKKHAAH@Z
00004015 0000405C ?GetZoneActionPolicyEx@CUrlZoneManager@@UAGJKKPAEKW4_URLZONEREG@@K@Z
00004061 00004084 ?GetRegZoneById@CUrlZoneManager@@KGPAVCRegZone@@KH@Z
00004089 000040C1 ?GetRegZoneById@CRegZoneContainer@@QBEPAVCRegZone@@K@Z
000040C6 00004102 ?IsDosPath@@YGHPBG@Z
000041C1 00004246 ?IsCDFile@@YGJPBG@Z
00004252 0000433E ?_MapComponentsToZone@CSecurityManager@@IAEJPAVZONEMAP_COMPONENTS@@PAKKPAW4TRIBIT@@PAPAG@Z
00004360 0000446F ?Set@CSecMgrCacheEntry@CSecMgrCache@CSecurityManager@@QAEXPBGKKW4TRIBIT@@PBEK00@Z
00004474 000044F9 ?Add@CSecMgrCache@CSecurityManager@@QAEXPBGKKW4TRIBIT@@PBEK00@Z
000044FE 00004537 ?SetToCurrentCounter@CSecMgrCache@CSecurityManager@@IAEXXZ
00004554 000046DF _CoInternetGetSecurityUrl@16
000046E4 0000477D ?_CrackProtocol@ZONEMAP_COMPONENTS@@AAEHPAUCRACK_STATE_@@K@Z
00004782 000047A2 ?StringCchCopyNW@@YGJPAGIPBGI@Z
000047A7 000047F0 ?StringCopyNWorkerW@@YGJPAGIPBGI@Z
000047F5 0000487E ?Crack@ZONEMAP_COMPONENTS@@QAEJPBGKH@Z
00004883 000048A2 ?_CrackOpaque@ZONEMAP_COMPONENTS@@AAEHPAUCRACK_STATE_@@@Z
000048A7 000048BC ?IsOpaqueScheme@@YGHK@Z
000048C1 00004A12 ?_CrackFilePath@ZONEMAP_COMPONENTS@@AAEHPAUCRACK_STATE_@@K@Z
00004A70 00004B5C ?_MapUrlToZoneDirect@CSecurityManager@@IAEJPBGPAKKPAW4TRIBIT@@PAPAG@Z
000050B1 00005196 ?LoadHandler@CTransaction@@QAGJPBGPAVCOInetProt@@KH@Z
000051C9 00005271 ?FindFirstCF@CProtMgr@@UAGJPBGPAPAUIClassFactory@@PAU_GUID@@@Z
00005276 000052AE ?IsKnownHandler@@YGKPBG@Z
000052B3 000052FB ?FindFirstCF@COInetSession@@AAGJPBGPAPAUIClassFactory@@PAU_GUID@@PAKK@Z
00005300 000053F4 ?FindFirstCF@CProtMgrNameSpace@@UAGJPBGPAPAUIClassFactory@@PAU_GUID@@@Z
00005437 0000545F ?FindInternalCF@COInetSession@@AAGJPBGPAPAUIClassFactory@@PAU_GUID@@PAK@Z
000054A7 000054E2 ?ShouldLookupRegistry@CProtMgrNameSpace@@AAGJPBG@Z
000054E7 00005548 ?ParseUrl@COInetSession@@UAGJPBGW4_tagPARSEACTION@@KPAGKPAKK@Z
0000554D 000055F9 ?CreateProtocolInfo@COInetSession@@AAGJPBGPAPAUIInternetProtocolInfo@@@Z
00005611 000056FC ?LookupClsIDFromReg@CProtMgr@@UAGJPBGPAU_GUID@@PAK2K@Z
00005738 0000575F ?IsDrive@@YGHPBG@Z
00005764 000057CE ?_StripExtendedPathPrefix@ZONEMAP_COMPONENTS@@AAEJXZ
000057EB 00005830 ?GetDriveTypeFromCacheA@@YGKPBD@Z
00005871 000058AF _StringCopyWorkerW@12
000058CD 00005A02 ?CheckSiteAndDomainMappings@CSecurityManager@@IAEJPAVZONEMAP_COMPONENTS@@PAKPBG@Z
00005A1B 00005A80 ?CheckUNCAsIntranet@CSecurityManager@@IAEJPAVZONEMAP_COMPONENTS@@PAKPBG@Z
00005A85 00005B26 ?CheckIntranetName@CSecurityManager@@IAEJPAVZONEMAP_COMPONENTS@@PAKPBG@Z
00005B42 00005C01 ?_CrackSite@ZONEMAP_COMPONENTS@@AAEHPAUCRACK_STATE_@@H@Z
00005C06 00005C48 ?_FindSiteTerminator@@YGPBGKPBG@Z
00005CC0 00005CFB ?IsHierarchicalScheme@@YGHK@Z
00005D76 00005DAE ?IsHierarchicalUrl@@YGHPBG@Z
00005E7F 00005F49 ?ReadAllIPRules@CSecurityManager@@IAEJXZ
00005F4E 00005F97 ?QuerySubKeyInfo@CRegKey@@QAEJPAK00@Z
00005F9C 00005FD5 ??0CUrlClsFact@@QAE@ABU_GUID@@K@Z
00005FDA 00006035 ?QueryInterface@CUrlClsFact@@UAGJABU_GUID@@PAPAX@Z
0000603A 0000611C _DllGetClassObject@12
00006121 00006202 ?Create@CUrlClsFact@@SGJABU_GUID@@PAPAV1@@Z
00006207 00006246 ?IsKnownOInetProtocolClass@@YGKPAU_GUID@@@Z
000064BE 000064DB ?SetupDelayloadErrorHandler@@YGXXZ
00006502 0000661E ?GetUAInfoString@@YGPADXZ
000066A1 000066DA ?GlobalUTF8Enabled@@YGHXZ
000066ED 00006751 ?CanUseImprovedZoneCheck@@YGHXZ
00006772 00006790 ??0CSecMgrCacheEntry@CSecMgrCache@CSecurityManager@@QAE@XZ
00006795 000067A6 ??0CRegZoneCacheEntry@CRegZoneCache@CRegZone@@QAE@XZ
000067AB 000067E3 __cfltcvt_init
000067E8 000067F1 __lockexit
000067F6 000068A9 ___crtGetEnvironmentStringsA
0000694C 00006A6E ___crtGetStringTypeA
00006B01 00006B07 _GetModuleFileNameWrapW@12
00006B0C 00006B12 _LoadLibraryWrapW@4
00006BA3 00006BE5 _NT5_CreateActCtx@4
00006BFB 00006C24 ___security_init_cookie
00007512 0000757D __mtinit
00007582 000075C6 __mtinitlocks
000075CB 00007646 ___crtInitCritSecAndSpinCount
000078E8 0000798D __setargv
00007AB2 00007AD0 ___initmbctable
00007AD5 00007C22 __setmbcp
00007CCD 00007D9B __setenvp
00007DBD 00007E30 ??0CRegZoneCache@CRegZone@@QAE@H@Z
00007E4C 00007ED7 ___initstdio
00007EDC 00007F1C _SHFusionInitializeFromModule@4
00007F21 00007F34 _SHFusionInitialize@4
00007F39 00007F4F _SHFusionInitializeID@8
00007F54 00007FE9 _SHFusionInitializeIDCC@12
00007FEE 0000801B _DelayLoadCC@0
0000803B 0000807B _SHFusionLoadLibrary@4
0000809F 000080B4 _SHDeactivateContext@4
000080B4 000080FF _NT5_DeactivateActCtx@4
00008127 0000813E _atexit
00008143 00008175 __onexit
00008194 0000819D __unlockexit
0000825E 00008295 _MLLoadResourcesA@8
0000829A 00008319 ?ZonesInit@@YGHXZ
0000831E 000083B3 ?GlobalInit@CSecurityManager@@SGHXZ
00008519 00008554 ?GlobalUTF8hackEnabled@@YGHXZ
00008670 000086BB __cinit
00008771 00008799 ___onexitinit
0000879E 000087F6 __ioinit
000087FB 00008812 _malloc
00008817 00008839 __nh_malloc
0000883E 0000888D __heap_alloc
000088A1 000088E1 __heap_init
000088E6 00008900 ___heap_select
00008942 0000897E __msize
000089AC 000089EC ??0CSecMgrCache@CSecurityManager@@QAE@XZ
00008A03 00008A27 ??_H@YGXPAXIHP6EPAX0@Z@Z
00008A2C 00008A39 __fpmath
00008A3E 00008A50 __setdefaultprecision
00008A55 00008A6F __controlfp
00008A74 00008AA9 __control87
00008B76 00008D23 ___crtLCMapStringA
00008D55 00008D7A _SHActivateContext@4
00008D7F 00008DCF _NT5_ActivateActCtx@8
00008EF3 00008F26 ?IncrementGlobalCounter@CSecMgrCache@CSecurityManager@@SGXXZ
