000084AE 000084BD _NtUserCallOneParam@8
000084C2 000084D1 _NtUserCallNoParam@4
000084E0 000084FA @ValidateHwnd@4
00008500 0000850F _NtUserValidateHandleSecure@8
00008520 000085BD @HMValidateHandle@8
000085C0 000085FB __SEH_prolog
00008600 00008611 __SEH_epilog
00008616 00008637 __BeginIfHookedUserApiHook@0
0000863C 00008650 _IsInsideUserApiHook@0
00008655 0000866F _PtiCurrent@0
00008674 0000868D @__security_check_cookie@4
00008692 00008698 _GdiReleaseDC@4
0000869D 000086C2 _ReleaseDC@8
000086C7 000086D6 _NtUserGetDC@4
000086DB 000086EA _NtUserQueryWindow@8
0000870C 0000875A _InternalCallWinProc@20
0000875F 0000882D _UserCallWinProcCheckWow@32
00008860 000088A1 __GetWindowLong@12
000088A6 000088DD _GetWindowLongW@8
000088F1 000089ED _DispatchMessageWorker@8
00008A01 00008A14 _DispatchMessageW@4
00008A19 00008A59 _TranslateMessageEx@8
00008A80 00008AC1 _GetWindowThreadProcessId@8
00008AC6 00008B1C _PtiWindow@4
00008B30 00008B7B _GetWindowData@12
00008B80 00008B8F _NtUserPostMessage@16
00008B94 00008BC3 _IsMsgOverride@8
00008BC8 00008BF1 __EndUserApiHook@0
00008BF6 00008C1E _TranslateMessage@4
00008C2E 00008C3D _NtUserSetTimer@16
00008C42 00008C51 _NtUserKillTimer@8
00008C56 00008CA4 _CategoryMaskFromEvent@4
00008CB7 00008CC6 _NtUserSystemParametersInfo@16
00008CCB 00008CF6 _PostMessageW@16
00008CFB 00008D01 _fakeImm_bd2@8
00008D06 00008D12 __LockResource@8
00008D17 00008D26 _NtUserGetObjectInformation@20
00008D2B 00008D67 _CharUpperA@4
00008D6C 00008E0F _RtlCaptureAnsiString@12
00008E14 00008E23 _NtUserRegisterWindowMessage@4
00008E28 00008E73 _RegisterWindowMessageA@4
00008E78 00008EA6 _GetSysColor@4
00008EAB 00008ED1 _GetSysColorBrush@4
00008ED6 00008F11 _GetAppCompatFlags2@4
00008F16 00008F97 _RealGetSystemMetrics@4
00008F9C 00008FFE _GetSystemMetrics@4
00009021 00009030 _NtUserGetWindowDC@4
00009035 0000903D _RealSetScrollInfo@16
00009042 00009051 _NtUserSetScrollInfo@16
00009056 000090AD _SetScrollInfo@16
000090D2 0000911F _CharUpperW@4
0000911F 0000916F __aulldvrm
00009195 000091A2 _NtUserGetProcessWindowStation@0
000091B2 000091C1 _NtUserGetMessage@16
000091C6 00009211 _GetMessageW@16
00009216 0000924D _CharUpperBuffW@8
00009252 00009282 _GetShellWindow@0
0000929B 00009376 _PeekMessageW@20
0000937B 000093D8 __PeekMessage@24
000093DD 000093EC _NtUserPeekMessage@20
0000940C 00009419 _NtUserWaitMessage@0
0000941E 00009458 _TranslateAcceleratorW@12
0000945D 00009494 _GetWindowLongA@8
000094A4 000094AD @XyCallbackReturn@12
000094B2 000094C1 _NtUserMessageCall@28
000094C6 000094D5 _NtUserDispatchMessage@4
000094DA 000094EF _GetCapture@0
000094F4 0000951B _GetLastInputInfo@4
00009520 0000961F _RealMsgWaitForMultipleObjectsEx@20
00009624 00009640 _IsInsideMessagePumpHook@0
00009645 0000965D _MsgWaitForMultipleObjectsEx@20
00009662 00009684 _GetInputBits@12
00009689 000096AC _MsgWaitForMultipleObjects@20
000096B8 000096CB _DispatchMessageA@4
000096D0 00009709 __IsChild@8
0000970E 00009742 _IsChild@8
000097A2 000097B1 _NtUserValidateTimerCallback@12
000097B6 0000986E _UserCallWinProc@24
000098A0 000099AA _ClassNameToVersion@16
000099AF 00009A15 _RtlGetExpWinVer@4
00009A29 00009A38 _NtUserRegisterClassExWOW@28
00009A3D 00009A4C _NtUserGetThreadDesktop@8
00009A51 00009A8B _GetThreadDesktop@4
00009A90 00009A9F _NtUserUnregisterClass@12
00009AA4 00009B4D _UnregisterClassW@8
00009B52 00009B81 _GetIcoCurWidth@16
00009B86 00009BB5 _GetIcoCurHeight@16
00009BBA 00009C1D _FindExistingCursorIcon@12
00009C22 00009C31 _NtUserFindExistingCursorIcon@12
00009C36 00009D64 _LoadIcoCur@24
00009D69 00009D88 _LoadCursorW@8
00009D8D 00009E31 _LoadStringOrError@20
00009E36 00009E52 _LoadStringW@16
00009E57 00009E8E _CharLowerBuffW@8
00009E93 00009F01 _RealSystemParametersInfoW@16
00009F06 00009F71 _SystemParametersInfoW@16
0000A00A 0000A139 _ClientThreadSetup@0
0000A13E 0000A15F ___ClientThreadSetup@4
0000A164 0000A33F _RegisterClassExWOWW@16
0000A344 0000A395 _InitClsMenuNameW@12
0000A39A 0000A3D9 _RegisterClassW@4
0000A401 0000A5B4 _RegisterClassExWOWA@16
0000A5B9 0000A60B _InitClsMenuNameA@12
0000A610 0000A7F6 _wvsprintfA@12
0000A7FB 0000A81E _SP_GetFmtValue@8
0000A823 0000A83A _SP_Reverse@8
0000A83F 0000A8A8 _SP_PutNumber@24
0000A8AD 0000A8C3 _wsprintfA
0000A9B6 0000A9CC _wsprintfW
0000A9D1 0000AC0F _wvsprintfW@12
0000AC14 0000AC3A _SP_GetFmtValueW@8
0000AC3F 0000AC68 _SP_ReverseW@8
0000AC6D 0000ACE5 _SP_PutNumberW@24
0000ADAD 0000AE3A _MBToWCSEx@24
0000AE3F 0000AEEC _CharUpperBuffA@8
0000AEF1 0000AF2F _CharToOemA@8
0000AF34 0000AF5C _RegisterWindowMessageW@4
0000AF61 0000AF67 _GdiValidateHandle@4
0000AF7F 0000AFA3 _RegisterClassExW@4
0000B1A5 0000B1D8 _IsWinEventHookInstalled@4
0000B1DD 0000B203 _ScrollDC@28
0000B203 0000B212 _NtUserScrollDC@28
0000B217 0000B22D _UserClientDllInitialize@12
