00001536 0000153C ??3@YAXPAX@Z
000015E4 00001649 DllEntryPoint
000017DD 00001818 __SEH_prolog
00001818 00001829 __SEH_epilog
00001BC9 00001D04 GetUserAppDataPathW
00001D89 00001D8F ??2@YAPAXI@Z
00002331 00002DA7 InitializeProfiles
00003387 00004473 MigrateNT4ToNT5
00005689 0000568F _initterm
000059E6 000059EC __dllonexit
0000623E 000062D2 GetUserSid
00006357 000064D9 GetUserProfileDirectoryW
000066A1 000066B7 GetAllUsersProfileDirectoryW
00006995 00006D1E CreateEnvironmentBlock
000075AA 000075C0 GetDefaultUserProfileDirectoryW
00007733 0000779D ExpandEnvironmentStringsForUserW
00007CA5 00007CC4 DestroyEnvironmentBlock
00008607 000086D2 RegisterGPNotification
00008761 00008904 StartAddress
0000897A 000089B9 WaitForMachinePolicyForegroundProcessing
00008E71 00008FE0 GetProfileType
0000907F 000090BE WaitForUserPolicyForegroundProcessing
000094FF 00009515 GetNextFgPolicyRefreshInfo
00009695 0000972A IsSyncForegroundPolicyRefresh
0000AD1C 0000B1EA LoadUserProfileW
0000BB03 0000BB09 CheckTokenMembership
0000BE4D 0000BEA0 IfCallback
0000BF05 0000BF0B NdrServerCall2
0000C138 0000C13E NdrClientCall2
0000E61F 0000E62B RsopLoggingEnabled
0000F117 0000F12F EnterCriticalPolicySection
0000F391 0000F628 DetermineProfilesLocation
00011133 0001114A FreeGPOListW
00013B9B 00013BF1 GetGroupPolicyNetworkName
00014371 000143B1 LeaveCriticalPolicySection
00014461 0001447E SignalUserPolicyForegroundProcessingDone
00014483 000144A0 SignalMachinePolicyForegroundProcessingDone
00018697 000187D6 ApplySystemPolicyW
00018BEF 0001909F ShutdownGPOProcessing
00019894 000198EC UnregisterGPNotification
0003BFBF 0003C129 CreateEnvironmentBlock_1
0003C1A5 0003C2E1 DeleteProfileA_1
0003C35D 0003C4FF DeleteProfileW_1
0003D32E 0003D4F4 GetUserProfileDirFromSidW
0004091B 00040931 PingComputer
00043A29 00043A3F GetProfilesDirectoryW
000446D7 00044844 DialogFunc
000477EB 000478E6 LoadUserProfileA
