00012C95 00012CED _ScriptFreeCache@4
00012CF2 00012DBF _ScriptItemize@28
00012DC4 00012E15 _ScriptLayout@16
00012E1A 00012F33 _ScriptShape@40
00012F38 00013030 _ScriptPlace@36
00013035 0001325C _ScriptTextOut@56
00013261 000137A9 _ScriptJustify@24
000137AE 000137D5 ??ADoubleWideCharMappedString@@QAEHH@Z
000137DA 0001381A _ScriptBreak@16
0001381F 000138DC _ScriptCPtoX@36
000138E1 000139E5 _ScriptXtoCP@36
000139EA 00013AAC _ScriptGetLogicalWidths@28
00013AB1 00013C80 _ScriptApplyLogicalWidth@36
00013C85 00013D1E _ScriptGetCMap@24
00013D23 00013D50 _ScriptGetGlyphABCWidth@16
00013D55 00013D88 _ScriptGetProperties@8
00013D8D 00013E10 _ScriptGetFontProperties@12
00013E15 00013E4B _ScriptCacheGetHeight@12
00013E50 00013F2B _ScriptItemizeGCP@32
00013F30 0001403E _ScriptItemizeSymbolic@28
00014043 000142AE _ScriptStringAnalyse@52
000142B3 000142F2 _ScriptStringFree@4
000142F7 00014308 _ScriptString_pSize@4
0001430D 0001431E _ScriptString_pcOutChars@4
00014323 00014332 _ScriptString_pLogAttr@4
00014337 000144E3 _ScriptStringGetOrder@8
000144E8 0001459E _ScriptStringCPtoX@16
000145A3 0001469C _ScriptStringXtoCP@16
000146A1 00014717 _ScriptStringGetLogicalWidths@8
0001471C 000147E9 _ScriptStringValidate@4
000147EE 000149A9 _ScriptStringOut@32
000149AE 00014A15 _ScriptIsComplex@12
00014A1A 00014C6D _ScriptRecordDigitSubstitution@8
00014C72 00014CF4 _ScriptApplyDigitSubstitution@12
00014CF9 00014D0F ?GetNtmFlagsFontEnumProc@@YGHPAUtagENUMLOGFONTEXW@@PAUtagNEWTEXTMETRICEXW@@HPAK@Z
00014D14 00014D79 ?GetNtmFlagsW@@YGKPAUHDC__@@PAGEE@Z
00014D7E 00014DA6 ?GetEscapementID@@YGIJ@Z
00014DAB 00014DDD _HRESULT_FROM_LAST_WIN32_ERROR@0
00014DE2 00014E72 ?IsDifferentFace@@YGHABUFACEMETRICS@@0@Z
00014E77 00014EC3 ?IsDifferentSize@@YGHABUSIZEMETRICS@@0@Z
