000013BC 00001401 __SEH_prolog4
00001401 00001415 __SEH_epilog4
0000183E 00001906 DllEntryPoint
00001B1E 00001B24 memcpy
00004869 0000486F ??2@YAPAXI@Z
00004FEA 00004FF0 memset
000051A0 000051A6 ??3@YAXPAX@Z
0000645D 00006488 __alloca_probe
000067F0 000067F6 _setjmp3
0000BA84 0000BA8A _initterm
0000BA8F 0000BA95 __dllonexit
0000BA9A 0000BAA0 _lock
0000BBDF 0000BBE5 _unlock
0000C102 0000C197 DllGetClassObject
0000F7F8 0000F7FE _clearfp
0001AD8F 0001AD95 _CIpow
0001EFDA 0001EFF3 DllCanUnloadNow
00020E33 00020E7B __SEH_prolog4_GS
00020E7B 00020E8A __SEH_epilog4_GS
00021304 00021305 nullsub_3
0002471A 0002471B nullsub_1
00028812 00028813 nullsub_4
00028CEC 00028CF2 _clearfp_0
00029150 00029151 nullsub_5
000291C5 000291C6 nullsub_2
00039E78 00039F0E DllUnregisterServer
00039F13 0003A2C4 DllRegisterServer
00051DFA 00051F15 DialogFunc
0005297C 00052982 _wcsicmp
00052987 0005298D _wcsnicmp
000529BC 000529C2 _purecall
000529C7 000529CD _CIlog
000529D2 000529D8 floor
000529DD 000529E3 _errno
000529E8 000529EE bsearch
000529F3 000529F9 _CIsin
000529FE 00052A04 _CIcos
00052A09 00052A0F _CIatan
00052A14 00052A1A _CIexp
00052A1F 00052A25 _CIsqrt
00052B16 00052B1C _vsnwprintf
000530C5 000530CB _XcptFilter
000531E9 000531EF _amsg_exit
00054F0E 00054F14 RtlUnwind
0005607C 00056092 PtFuncCompare
00056309 0005630F wcsncmp
