00038285 000382B1 ??_I@YGXPAXIHP6EX0@Z@Z
000382B6 000382DA ??_H@YGXPAXIHP6EPAX0@Z@Z
000382DF 00038312 ??1CDownloadSink@@QAE@XZ
00038317 00038368 ?QueryInterface@CDownloadSink@@UAGJABU_GUID@@PAPAX@Z
0003836D 0003838E ??_GCDownloadSink@@QAEPAXI@Z
00038393 00038409 ?GetBindInfo@CDownloadSink@@UAGJPAKPAU_tagBINDINFO@@@Z
0003840E 00038444 ?OnStartBinding@CDownloadSink@@UAGJKPAUIBinding@@@Z
00038449 00038495 ?OnStopBinding@CDownloadSink@@UAGJJPBG@Z
0003849A 000384A2 ?OnObjectAvailable@CDownloadSink@@UAGJABU_GUID@@PAUIUnknown@@@Z
000384A7 000384C4 ?OnLowResource@CDownloadSink@@UAGJK@Z
000384C9 00038583 ?OnProgress@CDownloadSink@@UAGJKKKPBG@Z
00038588 000386D6 ?OnDataAvailable@CDownloadSink@@UAGJKKPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
000386DB 00038740 ?ReallocateBuffer@CDownloadSink@@UAGJK@Z
00038745 00038771 ?FInit@CDownload@@QAE_NPBGK@Z
00038776 000387F3 ??1CDownload@@QAE@XZ
000387F8 000387FC ?PCacheFile@CDownload@@UBEPAGXZ
00038801 00038804 ?FUseCachedCopy@CDownload@@UBE_NXZ
00038809 00038810 ?AddRef@BlipDownload@@UAEKXZ
00038815 00038836 ??_GCDownload@@QAEPAXI@Z
0003883B 00038865 ?SetBinding@BlipDownload@@UAEXPAUIBinding@@@Z
0003886A 0003886F ?FEndSubPath@GPI@@MAE_N_N@Z
00038874 000388AD ?OnDownloadBegin@CDownload@@UAE_NPAEK@Z
000388B2 000388C6 ?OnDownloadData@CDownload@@UAE_NK@Z
000388CB 00038903 ?FGetUrl@CDownload@@UBE_NPAGKPAK@Z
00038908 0003890D ?FGetBase@CDownload@@UBE_NPAGKPAK@Z
00038912 00038942 ?FSetCacheFile@CDownload@@UAE_NPBG@Z
00038947 0003896F ?FSynchronous@CDownload@@UBE_NXZ
00038974 00038A24 ?CreateTempFile@CDownload@@QAE_NPAPAX@Z
00038A29 00038A2C ?FSetStream@IDownload@@UAEXPAUIStream@@@Z
00038A31 00038A4E ?Release@CDownloadSink@@UAGKXZ
00038A53 00038A90 ??0CDownload@@QAE@XZ
00038A95 00038AA7 ?Release@CDownload@@UAEKXZ
00038AAC 00038BFB ?OnDownloadEnd@CDownload@@UAE_NJ@Z
00038C00 00038C53 ??0CDownloadSink@@QAE@PAUIUnknown@@PAVIDownload@@@Z
00038C58 00038F29 ?Download@GelHost@@SG_NPAUIUnknown@@PAVIDownload@@@Z
00038F2E 00038FC0 ?DownloadToFile@GelHost@@SG_NPAUIUnknown@@PBGKPAGKAA_N@Z
00038FC5 00038FCA _MsoFInitOffice@20
00038FCF 00038FE8 ?Mso9Uninit@@YG_NXZ
00038FED 00038FFF ?TagName@IVGXFnsImp@@UAEPBGH@Z
00039004 0003900F ?MsoWzCopy@IVGXFnsImp@@UAEPAGPBGPAG@Z
00039014 0003901F ?MsoWzIndex@IVGXFnsImp@@UAEPAGPBGH@Z
00039024 0003902F ?MsoFWzEqual@IVGXFnsImp@@UAEHPBG0H@Z
00039034 0003903F ?MsoCchWzLen@IVGXFnsImp@@UAEHPBG@Z
00039044 0003904F ?MsoWzCchCopy@IVGXFnsImp@@UAEXPBGPAGH@Z
00039054 0003905F ?MsoFRgwchEqual@IVGXFnsImp@@UAEHPBGH0HH@Z
00039064 0003906F ?MsoDeleteFileW@IVGXFnsImp@@UAEHPBG@Z
00039074 0003907F ?MsoCreateFileW@IVGXFnsImp@@UAEPAXPBGKKPAU_SECURITY_ATTRIBUTES@@KKPAX@Z
00039084 0003908F ?MsoGetTempPathW@IVGXFnsImp@@UAEKKPAG@Z
00039094 0003909F ?MsoGetTempFileNameW@IVGXFnsImp@@UAEIPBG0IPAG@Z
000390A4 000390AF ?FGzUncompressFromFileToFile@IVGXFnsImp@@UAE_NPAX0PAUMSOABORT@@@Z
000390B4 000390BF ?GELTerminate@IVGXFnsImp@@UAEXPAUMSOINST@@@Z
000390C4 000390CF ?VGXTkHash@IVGXFnsImp@@UAE?AW4VGXTagNameKeys@@PBGI@Z
000390D4 000390D9 ?FreeBuiltInOPT@IVGXFnsImp@@UAEXXZ
000390DE 000390E3 ?OAReleaseVGXTypeLib@IVGXFnsImp@@UAEXXZ
000390E8 000390F2 ?GelHost__Init@IVGXFnsImp@@UAE_NPAUIVGXParser@@@Z
000390F7 000390FC ?GelHost__Uninit@IVGXFnsImp@@UAEXXZ
00039101 0003910C ?IOAEnv__CreateNew@IVGXFnsImp@@UAEPAVIOAEnv@@K@Z
00039111 0003911C ?IOAEnv__EnsureTypeLibrary@IVGXFnsImp@@UAE_NABU_GUID@@GG@Z
