00007D85 00007E22 ?RegisterTypeLib@@YGJXZ
00007E27 00007EF4 ?UnregisterTypeLib@@YGJXZ
00007EF9 00007F44 ?CallRegInstall@@YGJPAD@Z
00007F49 00007F70 _DllRegisterServer@0
00007F75 00007F99 _DllUnregisterServer@0
00007F9E 00007FD6 ?Init@CCritSec@@QAEHXZ
00007FDB 00007FF3 ?FreeLock@CCritSec@@QAEXXZ
00007FF8 0000801B ??_GCAsyncCount@@QAEPAXI@Z
00008020 00008141 _DllMain@12
00008146 000081B4 ___security_init_cookie
000081B9 000081CF @__security_check_cookie@4
000081D4 000082CC ___report_gsfailure
000082D1 000083CC ?FixStrings@@YGKAAPADKAAPAGAAKPADPBGPAK@Z
0000857E 000085FF _WinHttpCheckPlatform@0
00008604 000086D1 _WinHttpGetDefaultProxyConfiguration@4
000086D6 00008799 _WinHttpSetDefaultProxyConfiguration@4
0000879E 00008896 _WinHttpGetIEProxyConfigForCurrentUser@4
0000889B 000088B1 ??1MEMORYPACKET@@QAE@XZ
000088B6 00008DC5 _WinHttpCrackUrl@16
00008DCA 00009639 _WinHttpCreateUrl@16
0000963E 000099A0 _WinHttpOpen@20
000099A5 00009AAB _WinHttpConnect@16
00009AB0 00009BE6 _WinHttpSetStatusCallback@16
00009BEB 00009C0D ?winHttpCrackUrlAVerifyStringBuffer@@YGHPADKK@Z
00009C12 00009D85 ?winHttpCrackUrlACopyResultToBuffer@@YGKPADKPAPADPAKKHHPAH@Z
00009D8A 00009DB9 ?ICUHrToWin32Error@@YGKJ@Z
00009DBE 00009DF7 ?Lock@CCritSec@@QAEHXZ
00009DFC 00009E5B ?internalWinHttpGetDefaultProxyConfigurationA@@YGHPAUWINHTTP_PROXY_INFOA@@@Z
00009E60 00009E84 ??_GPROXY_BYPASS_LIST_ENTRY@@QAEPAXI@Z
00009E89 00009EAD ??_GPROXY_SERVER_LIST_ENTRY@@QAEPAXI@Z
00009EB2 00009ED2 ?ReduceAvailableDataLength@INTERNET_HANDLE_BASE@@QAEXK@Z
00009ED7 00009F37 ??0CFsm_HttpWriteData@@QAE@PAXKPAKKPAVHTTP_REQUEST_HANDLE_OBJECT@@@Z
00009F3C 00009F4B ?Dereference@CFsm@@UAEPAV1@PAK@Z
00009F50 0000A28D _WinHttpCrackUrlA@16
0000A292 0000A8D6 _WinHttpCreateUrlA@16
0000A8DB 0000A97B _InternetCanonicalizeUrlA@16
0000A980 0000AA27 _InternetCombineUrlA@20
0000AA2C 0000AB11 _InternetOpenA@20
0000AB16 0000AC09 __InternetCloseHandle@4
0000AC0E 0000AD49 _InternetConnectA@20
0000AD4E 0000AD88 ?ReadFile_End@@YGXHHPAXK0KPAK@Z
0000AD8D 0000AE1A ?ReadFile_Fsm@@YGKPAVCFsm_ReadFile@@@Z
0000AE1F 0000B078 _WinHttpWriteData@16
