00001555 000015BC __DllMainCRTStartup@12
000015C1 000015F9 __CRT_INIT@12
000015FE 00001628 _DllMain@12
00001659 0000166E _InternetDestroyThreadInfo@0
00001675 000016B0 __SEH_prolog
000016B0 000016C1 __SEH_epilog
000016C6 000016DF @__security_check_cookie@4
000016E4 00001707 _GetCurrentGmtTime@4
0000170C 0000171E ??2@YAPAXI@Z
0000172E 0000173E ??3@YAXPAX@Z
00001743 000017B6 ?Acquire@RESOURCE_LOCK@@QAEHH@Z
000017BB 000017F6 ?Release@RESOURCE_LOCK@@QAEXXZ
000017FB 00001819 ?Wait@RESOURCE_LOCK@@AAEHPAX@Z
0000181E 00001850 ?ChkForAndUpdateTimerCounter@AUTO_PROXY_DLLS@@AAEHXZ
00001855 0000187A ?IsNetChanged@NLA_NET_CHANGE@@QAEEXZ
0000187F 00001932 ?DoThreadProcessing@AUTO_PROXY_DLLS@@QAEKXZ
00001937 0000195C ?ProcessAsyncAutoProxyRequest@AUTO_PROXY_DLLS@@QAEKXZ
00001961 00001984 ?CheckForExpiredEntries@PROXY_INFO_GLOBAL@@QAEXXZ
00001989 000019A3 ?CheckForExpiredEntries@BAD_PROXY_LIST@@QAEXXZ
0000365E 00003664 _GetTickCountWrap@0
00003669 00003687 ?GetHeaderData@MEMMAP_FILE@@QAEHKPAK@Z
0000368C 000036DC ?GetHeaderData@URL_CONTAINER@@QAEHKPAK@Z
000036F1 00003721 ?UnlockContainer@URL_CONTAINER@@QAEXXZ
00003726 0000377B ?LockContainer@URL_CONTAINER@@QAEHPAH@Z
00003780 000037A1 ?CheckSizeGrowAndRemapAddress@MEMMAP_FILE@@QAEKXZ
000037A6 000037C3 ?InitGlobals@@YGHXZ
000037C9 000037F0 ?Release@URL_CONTAINER@@QAEKH@Z
000037F5 00003826 ?Seek@CConList@@AAEHK@Z
0000382B 00003858 ?Get@CConList@@QAEPAVURL_CONTAINER@@K@Z
0000385D 00003861 ?AddRef@URL_CONTAINER@@QAEXXZ
00003898 000038A3 ?Size@CConList@@QAEKXZ
000038A8 0000394E ?GetExtensibleCacheConfigInfo@CConMgr@@AAEKH@Z
