000028C0 000028D9 @__security_check_cookie@4
000028DE 000028F8 _IsActiveConsoleSession@0
000028F8 00002909 __SEH_epilog
00002909 00002944 __SEH_prolog
00002949 00002A4D _mmRegQueryValue@20
00002A52 00002AAB _mmRegOpenSubkey@8
00002AB0 00002AF1 _ValidateWritePointer@8
00002B24 00002B4C _mmInitializeCriticalSection@4
00002B61 00002B77 _DllInstanceInit@12
00002B77 00002B98 __DllInstanceInit@12
00002B9D 00002BD6 _timeGetDevCaps@8
00002BDB 00002BF3 _mmRegFree@0
00002BF8 00002C64 _InvalidatePreferredDevices@0
00002C69 00002C77 _AudioSrvBindingFree@0
00002C7C 00002CAD _TimeCleanup@4
00002CB2 00002CC0 _DeletePnpInfo@0
00002CC5 00002CE5 _JoyCleanup@0
00002CEA 00002CFD _joyCloseAll@0
00002D02 00002D25 _joyClose@4
00002DB5 00002DD9 _mmDeleteMultipleCriticalSections@8
00002DDE 00002E32 _DrvGetModuleHandle@4
00002E37 00002E50 _DrvOpen@12
00002E55 00002F48 _InternalOpenDriver@16
00002F4D 0000310E _InternalLoadDriver@20
00003120 0000313C _DrvSendMessage@16
00003141 00003205 _InternalBroadcastDriverMessage@20
0000320A 00003275 _IsAliasName@8
0000329B 0000339A _LoadAliasedLibrary@20
000033B7 0000341A _GetDrvrUsage@4
0000342A 000034C5 _winmmGetPrivateProfileString@24
000034CA 000035AD _mmRegQuerySystemIni@16
00003635 00003684 _mmDrvOpen@4
00003689 00003703 _DrvIsPreXp@4
00003708 0000376D _winmmFileTimeIsPreXp@4
00003772 0000383D _winmmGetBuildYearAndMonth@8
00003890 000038A9 _DrvClose@12
000038AE 000038FC _InternalCloseDriver@16
00003901 00003A16 _InternalFreeDriver@8
00003A4E 00003CA3 _mmDrvInstall@16
00003CC9 00003CFF _InitSession@0
00003D04 00003D1D _FreeUnusedDrivers@4
00003E88 00003EBD _mmInitializeMultipleCriticalSections@8
00003EC2 00003EEB ___security_init_cookie
00003F26 00003F75 _WaveInit@0
00003F7A 00004056 _DllProcessAttach@4
00004069 00004168 _InitDevices@0
0000416D 000041E9 _MidiInit@0
0000421D 00004270 _MixerInit@0
00004275 000042A2 _midiEmulatorInit@0
000042A7 00004316 _AuxInit@0
0000431B 000043C8 _JoyInit@0
00004411 00004447 _hresMumbleKeyEx@20
0000444C 000044D2 _TimeInit@0
000044D7 0000450F _CalibrateTimer@0
00004514 00004518 _mciGlobalInit@0
00004566 000045E7 _ClientUpdatePnpInfo@0
000045EC 0000462E _IsWinlogon@0
0000464F 00004684 _PlaySoundW@12
000046FF 00004749 _CheckSessionChanged@0
000047BF 00004815 _ValidateStringW@8
00004833 00004931 _sndPlaySoundI@12
0000493C 00004A10 _GetSoundName@12
00004A1F 00004A36 _InitAsyncSound@0
00004A36 00004A67 _CreatehwndNotify@0
00004A6C 00004B41 _GetSoundAlias@12
00004B62 00004C3B _sndQueryRegistry@16
00004C40 00004C84 _mmRegQueryUserValue@16
00004C97 00004D40 _mmRegQueryMachineValue@16
00004D6B 00004DC5 _mmWndProc@16
00004DCA 00004E4A _mciwindow@4
00004E4F 00004E82 _timeGetTime@0
00004E82 00004ECA __alldiv
00004F4B 00004F57 _ReleaseHandleListResource@0
00004F5C 00004F6A _AcquireHandleListResourceShared@0
00004F6F 00004FB2 _ValidateHandle@8
00004FC9 00005004 _mregDecUsagePtr@4
00005009 0000501F _mregIncUsagePtr@4
00005039 0000506E _ValidateReadPointer@8
