00001200 0000123B __SEH_prolog
00001240 00001251 __SEH_epilog
00001260 00001298 __CRT_INIT@12
000012A0 000012BF __EH_prolog
000012D0 0000133F __DllMainCRTStartup@12
00001350 00001396 _DllMain@12
000013A0 000013CE ?RedirDllMain@@YGHPAXK0@Z
0000140D 00001413 ??2@YAPAXI@Z
00001418 0000141E _WTSRegisterSessionNotification@8
00001423 000014E2 ?SessionChangeNotificationWndProc@@YGHPAUHWND__@@IIJ@Z
0000150B 00001534 ___security_init_cookie
0000163D 000016A0 ??0CHandleList@@QAE@K@Z
000016EA 000016F0 __initterm
00001C92 00001CF9 ?TermSrvEnabled@@YGHXZ
00001D11 00001D67 ?SafeCreateEvent@@YGHPAPAX@Z
00001D79 00001D92 @__security_check_cookie@4
00001D97 00001DAD ??0CSecurityDescriptor@@QAE@XZ
00001DB2 00001E18 ?Initialize@CSecurityDescriptor@@QAEJXZ
00001E1D 00001E32 ??BCSecurityDescriptor@@QAEPAU_SECURITY_ATTRIBUTES@@XZ
00001E37 00001E3D _WTSQuerySessionInformationA@20
00001E42 00001E8B ??1CSecurityDescriptor@@QAE@XZ
00001E90 00001E96 ??3@YAXPAX@Z
00002650 00002690 _SCardAccessStartedEvent@0
00002695 000026E3 ?SetStartedEventAfterTestingConnectedState@@YGHXZ
000026E8 0000278B ?SetStartedEventWhenSCardSubsytemIsStarted@@YGHH@Z
000027A1 000027D6 ?AccessStartedEvent@@YGPAXXZ
000027DB 00002868 ?RegisterForSessionChangeNotifications@@YGHXZ
00002879 0000289A ?CreateHiddenWindow@@YGHXZ
0000289F 000028DD ?Allow@CSecurityDescriptor@@QAEJPBUSecurityId@1@K@Z
000028E2 000029FE ?AddAccessAllowedACEToACL@CSecurityDescriptor@@SGJPAPAU_ACL@@PBUSecurityId@1@K@Z
00002A03 00002A73 ?CopyACL@CSecurityDescriptor@@SGJPAU_ACL@@0@Z
00002A78 00002AB5 ?CalaisString@@YGPBDK@Z
00002BDD 00002BE1 ?InitFailed@CCriticalSectionObject@@UAEHXZ
00002BE6 00002BFD ??1CCriticalSectionObject@@QAE@XZ
00002C02 00002C0D ?Leave@CCriticalSectionObject@@UAEXXZ
00002C12 00002C6C ?SetBusy@CSCardSubcontext@@QAEXXZ
00002C71 00002CBF ??_Etype_info@@UAEPAXI@Z
00002CC9 00002D15 ?Presize@CBuffer@@QAEPAEKH@Z
00002D1A 00002D2C ?Clear@?$CDynamicArray@VCSCardSubcontext@@@@QAEXXZ
00002D31 00002DAE ?SetOwner@CSecurityDescriptor@@QAEJPAXH@Z
00003021 00003027 ___CxxFrameHandler
00003093 00003179 _SCardEstablishContext@16
0000317E 00003190 ?EstablishContext@CSCardUserContext@@QAEXXZ
00003195 00003251 ?AcquireSubcontext@CSCardUserContext@@QAEPAVCSCardSubcontext@@H@Z
00003256 000032E8 ?EstablishContext@CSCardSubcontext@@QAEXK@Z
000032ED 00003320 ??0ComStatus@@QAE@XZ
00003329 00003354 ??0CComObject@@QAE@XZ
00003367 00003372 ??1CBuffer@@UAE@XZ
00003372 00003395 ?Clear@CBuffer@@QAEXXZ
000033E3 00003487 ?Initiate@CComInitiator@@QBEPAVCComChannel@@PBDPAK@Z
0000348C 00003492 __CxxThrowException@8
000034EF 00003512 ??1ComEstablishContext@@UAE@XZ
00003517 0000355E ??1CComObject@@UAE@XZ
000035C7 000035CE ??1COwnCriticalSection@@QAE@XZ
00003607 00003612 ??1CHandleObject@@QAE@XZ
00003617 00003711 ??0CSCardSubcontext@@QAE@XZ
00003716 0000374E ?Open@CHandleObject@@QAEPAXPAX@Z
00003759 0000377A ??_GCSCardSubcontext@@UAEPAXI@Z
0000377F 0000380B ??1CSCardSubcontext@@UAE@XZ
00003810 0000382E ?Close@CHandleObject@@QAEKXZ
00003833 000038AD ??0CSCardUserContext@@QAE@K@Z
000038B2 00003906 ??0CCriticalSectionObject@@QAE@K@Z
00003919 00003937 ?Enter@CCriticalSectionObject@@UAEXPBE0@Z
00003949 0000396A ??_ECSCardUserContext@@UAEPAXI@Z
0000396F 00003A11 ??1CSCardUserContext@@UAE@XZ
00003A79 00003AB4 ?AllowOwner@CSecurityDescriptor@@QAEJK@Z
00003AB9 00003B61 ?AddAccessAllowedACEToACL@CSecurityDescriptor@@QAEJPAPAU_ACL@@K@Z
00003B66 00003BD9 ?InitializeFromProcessToken@CSecurityDescriptor@@QAEJH@Z
00003BDE 00003C5B ?SetGroup@CSecurityDescriptor@@QAEJPAXH@Z
00003C60 00003CB7 ?GetProcessSids@CSecurityDescriptor@@SGJPAPAX0@Z
00003CBC 000042F0 ?GetTokenSids@CSecurityDescriptor@@SGJPAXPAPAX1@Z
00005845 00005862 ?Access@CBuffer@@QBEPAEK@Z
