000012D0 0000130B __SEH_prolog
00001310 00001321 __SEH_epilog
00001326 0000136B _DllFreeSplMem@4
00001370 00001389 @__security_check_cookie@4
0000138E 000013C1 _DllAllocSplMem@4
000013C6 000013DA _DllFreeSplStr@4
000013DF 0000140D _CloseSpoolFileHandles@4
00001412 00001466 _FreeSpool@4
00004A9D 00004AA3 _NdrClientCall2
00004AF7 00004B4E _STRING_HANDLE_bind@4
00004B75 00004B88 _STRING_HANDLE_unbind@8
00004B8D 00004BD7 _FlushBuffer@8
00004BF0 00004C5F _eProtectHandle@8
00004C80 00004CC0 _vUnprotectHandle@4
00004CC5 00004CE4 _IsInvalidHandleError@4
00004CE9 00004D0D _FindClosePrinterChangeNotificationWorker@12
00004D40 00004D63 _ClosePrinter@4
00004D63 00004DBB _ClosePrinterWorker@4
00004DC0 00004E0B _ClosePrinterRPC@8
00004E10 00004E5D _ClosePrinterContextHandle@4
00004E71 00004E93 _RpcClosePrinter@4
00004E98 00004FAA _GetPrinterDataW@24
00005019 0000503B _RpcGetPrinterData@24
00005040 0000505A _HResultFromWin32@4
0000505F 0000508C _AllocSpool@0
00005091 000050F2 _OpenPrinterW@12
00005109 000051AA _OpenPrinterRPC@4
000051C1 000051CC _SplIsValidDevmodeNoSizeW@4
000051CC 000051F8 ??$SplIsValidDevmodeNoSize@U_devicemodeW@@G@@YGJPAU_devicemodeW@@@Z
00005209 00005276 _UpdatePrinterDefaults@12
0000527B 000052AD _UpdateString@8
000052B2 000052F5 _AllocSplStr@4
000052FA 00005312 ?StringCchCopyW@@YGJPAGIPBG@Z
00005312 00005350 _StringCopyWorkerW@12
00005355 00005377 _RpcOpenPrinter@20
0000540E 00005430 _RpcSplOpenPrinter@24
00005435 000054A0 __CRT_INIT@12
000054A5 0000550A __DllMainCRTStartup@12
0000550F 00005655 _DllMain@12
0000565A 00005672 _vSplLibFree@0
000056CB 000056F4 ___security_init_cookie
000056F9 00005730 _bSplLibInit@4
00005735 0000573B __initterm
00005740 0000589E _InitializeGlobalVariables@0
000058BF 0000593E _StrNCatBuff
00005955 00005A4B _SpoolerInit@0
00005AAD 00005ACF _RpcSpoolerInit@4
00005C83 00005C9C _RunInWOW64@0
00005CA1 00005CCB _GetServerVer@0
00005CD0 00005D4A _GetPrinterDriverDirectoryW@24
00005D61 00005D83 _RpcGetPrinterDriverDirectory@24
00005D88 00005DEC _DocumentEvent@28
00005DF1 00005E21 _MarshallUpStructure@16
00005E30 00005E8A ?BasicMarshallUpStructure@@YGHPAEPAU_FieldInfo@@@Z
00005E8F 00005F09 _MarshallUpStructuresArray@20
0000600F 000060DE _GetPrinterW@20
000060F1 00006113 _RpcGetPrinter@20
0000624D 00006310 _ResetPrinterW@8
00006321 00006343 _RpcResetPrinterEx@16
000063BD 00006428 _RefCntUnloadDriver@8
0000643C 00006579 _GetPrinterDriverW@24
00006598 00006665 _EnumFormsW@24
00006679 0000669B _RpcEnumForms@24
000066A0 00006719 _LoadPrinterDriver@4
0000671E 0000676F _RefCntLoadDriver@16
00006774 000067B7 _FindDriverNode@12
000067C0 000067F0 ?MarshallUpEntry@@YGHPAE0PAU_FieldInfo@@KKW4Call_Route@@@Z
000067F5 00006800 ?BasicMarshallUpEntry@@YGHPAEPAU_FieldInfo@@@Z
00006805 00006810 _SplIsValidDevmodeW@8
00006810 00006842 ??$SplIsValidDevmode@U_devicemodeW@@G@@YGJPAU_devicemodeW@@I@Z
00006847 00006861 _IsValidDevmodeW@8
00006866 0000688A _BoolFromHResult@4
0000688F 000068A5 _StatusFromHResult@4
000068F0 00006914 ??$IsNullTerminated@G@@YGHPAGH@Z
0000699E 000069C0 _RpcGetPrinterDriver2@40
000069C5 000069DD _DocumentPropertiesW@24
000069DD 00006AB6 _DocumentPropertiesWNative@24
00006ABB 00006B46 _DocumentPropertySheets@8
00006BEE 00006C1A _FixUpDEVMODEName@4
00006CA4 00006CBC _DeviceCapabilitiesW@20
00006CBC 00006D4F _DeviceCapabilitiesWNative@20
00006DD6 00006DEE _CallDrvDocumentEvent@28
00006DEE 00006E7E _CallDrvDocumentEventNative@28
00006F79 00007012 _LoadNewCopy@12
00007095 000070AF _AllocMem@4
000070B4 000070BA _wcslen
000070BF 0000719D _DefPrnGetProfileString@16
000071A2 00007227 _StrCatAlloc
0000722C 00007244 ?StringCchCatW@@YGJPAGIPBG@Z
00007244 00007278 ?StringCatWorkerW@@YGJPAGIPBG@Z
0000727D 000072B6 ?StringLengthWorkerW@@YGJPBGIPAI@Z
000072BB 0000735F _GetDefaultPrinterW@8
00007364 00007384 _FreeMem@4
00007389 000073A7 _WPCWaitFind@4
000073AC 000073EC _WPCWaitDelete@4
000073F1 00007443 _FindClosePrinterChangeNotification@4
000074CA 000074EC _RpcFindClosePrinterChangeNotification@4
000074FD 000075C8 _FindNextPrinterChangeNotification@16
000075D9 000075FB _RpcFindNextPrinterChangeNotification@20
0000774D 00007761 _MIDL_user_allocate@4
00007766 000077A5 _FreePrinterNotifyInfo@4
000077AA 000077B6 _MIDL_user_free@4
00007837 00007A56 _WritePrinter@16
00007A78 00007B31 _EndDocPrinter@4
00007B89 00007BBD _ScheduleJob@8
00007BC2 00007C16 _ScheduleJobWorker@8
00007C35 00007C57 _RpcScheduleJob@8
00007C5C 00007CFD _SeekPrinter@24
00007D46 00007E0F _vUpdateTrayIcon@8
00007E3D 0000801F _StartDocPrinterW@12
0000803D 00008054 _InCSRProcess@0
00008059 00008113 _GetJobW@24
00008129 0000814B _RpcGetJob@24
00008186 00008295 _AddJobW@20
000082B5 000082D7 _RpcAddJob@20
00008356 0000837B _StringCbCopyW@12
00008380 000083AA _WPCWaitAdd@4
000083AF 000083D2 _FindFirstPrinterChangeNotification@16
000083D7 000084AF _FindFirstPrinterChangeNotificationWorker@16
000084C1 000084E3 _RpcClientFindFirstPrinterChangeNotification@24
00008508 000085C1 _SetJobW@20
000085D9 000085FB _RpcSetJob@16
000086A4 0000874D _EnumPrintersW@28
00008761 00008783 _RpcEnumPrinters@28
000087EA 00008853 _EndPagePrinter@4
00008875 00008897 _RpcEndPagePrinter@4
00008936 000089D5 _ReadPrinter@16
00008A6D 00008A8F _RpcStartDocPrinter@12
00008A94 00008B0A _SplReadPrinter@12
00008B0F 00008B6F _StartPagePrinter@4
00008B8D 00008BAF _RpcStartPagePrinter@4
00008C29 00008CCB _QueryColorProfile@24
00008CF9 00008D9C _GetPrinterDataExW@28
00008DB1 00008DD3 _RpcGetPrinterDataEx@28
0000AD61 0000ADA5 _AllocateUnicodeString@4
0000ADAA 0000ADC2 _FreeUnicodeString@4
0000ADC7 0000AFF7 _ExtDeviceMode@32
0000AFFC 0000B03C _AnsiToUnicodeString@12
0000B041 0000B138 _EnumPrintersA@28
0000B13D 0000B15F _RpcEnumPrinterDrivers@28
0000B164 0000B2B4 _EnumPrinterDriversA@28
0000B2B9 0000B3B3 _EnumPrinterDriversW@28
0000B3C9 0000B40B _CreateUIUserData@8
0000B410 0000B45A _DestroyUIUserData@4
0000B45F 0000B4F9 _CreatePrinterFriendlyName@8
0000B51E 0000B615 _DevicePropertySheets@8
0000B635 0000B657 _RpcEnumJobs@32
0000B65C 0000B67E _RpcAddPrinter@20
0000B683 0000B6A5 _RpcDeletePrinter@4
0000B6AA 0000B6CC _RpcSetPrinter@20
0000B6D1 0000B6F3 _RpcDeletePrinterDriver@12
0000B6F8 0000B71A _RpcAddPrintProcessor@16
0000B71F 0000B741 _RpcEnumPrintProcessors@28
0000B746 0000B768 _RpcGetPrintProcessorDirectory@24
0000B76D 0000B78F _RpcWritePrinter@16
0000B794 0000B7B6 _RpcAbortPrinter@4
0000B7BB 0000B7DD _RpcReadPrinter@16
0000B7E2 0000B804 _RpcEndDocPrinter@4
0000B809 0000B82B _RpcSetPrinterData@20
0000B830 0000B852 _RpcWaitForPrinterChange@12
0000B857 0000B879 _RpcAddForm@8
0000B87E 0000B8A0 _RpcDeleteForm@8
0000B8A5 0000B8C7 _RpcGetForm@24
0000B8CC 0000B8EE _RpcSetForm@12
0000B8F3 0000B915 _RpcEnumPorts@24
0000B91A 0000B93C _RpcEnumMonitors@24
0000B941 0000B963 _RpcAddPort@12
0000B968 0000B98A _RpcConfigurePort@12
0000B98F 0000B9B1 _RpcDeletePort@12
0000B9B6 0000B9D8 _RpcCreatePrinterIC@12
0000B9DD 0000B9FF _RpcPlayGdiScriptOnPrinterIC@24
0000BA04 0000BA26 _RpcDeletePrinterIC@4
0000BA2B 0000BA4D _RpcAddPrinterConnection@4
0000BA52 0000BA74 _RpcDeletePrinterConnection@4
0000BA79 0000BA9B _RpcAddMonitor@8
0000BAA0 0000BAC2 _RpcDeleteMonitor@12
0000BAC7 0000BAE9 _RpcDeletePrintProcessor@12
0000BAEE 0000BB10 _RpcAddPrintProvidor@8
0000BB15 0000BB37 _RpcDeletePrintProvidor@12
0000BB3C 0000BB5E _RpcEnumPrintProcessorDatatypes@28
0000BB63 0000BB85 _RpcAddPortEx@16
0000BB8A 0000BBAC _RpcSetAllocFailCount@20
0000BBB1 0000BBD3 _RpcSetPort@12
0000BBD8 0000BBFA _RpcEnumPrinterData@36
0000BBFF 0000BC21 _RpcDeletePrinterData@8
0000BC26 0000BC48 _RpcClusterSplOpen@20
0000BC4D 0000BC6F _RpcClusterSplClose@4
0000BC74 0000BC96 _RpcClusterSplIsAlive@4
0000BC9B 0000BCBD _RpcSetPrinterDataEx@24
0000BCC2 0000BCE4 _RpcEnumPrinterDataEx@24
0000BCE9 0000BD0B _RpcEnumPrinterKey@20
0000BD10 0000BD32 _RpcDeletePrinterDataEx@12
0000BD37 0000BD59 _RpcDeletePrinterKey@8
0000BD5E 0000BD80 _RpcSeekPrinter@24
0000BD85 0000BDA7 _RpcDeletePrinterDriverEx@20
0000BDAC 0000BDCE _RpcAddPerMachineConnection@16
0000BDD3 0000BDF5 _RpcDeletePerMachineConnection@8
0000BDFA 0000BE1C _RpcEnumPerMachineConnections@20
0000BE21 0000BE43 _RpcXcvData@32
0000BE48 0000BE6A _RpcAddPrinterDriverEx@12
0000BE6F 0000BE91 _RpcGetSpoolFileInfo2@16
0000BE96 0000BEB8 _RpcCommitSpoolData2@20
0000BEBD 0000BEDF _RpcCloseSpoolFileHandle@4
0000BEE4 0000BF06 _RpcFlushPrinter@20
0000BF0B 0000BF2D _RpcSendRecvBidiData@16
0000BF32 0000BF54 _RpcAddDriverCatalog@12
0000BF59 0000BF92 _TranslateExceptionCode@4
0000BF97 0000C1E1 _SetPrinterW@16
0000C221 0000C359 _AddDriverCatalog@16
0000C371 0000C413 _DeletePrinterDriverExW@20
0000C429 0000C4C5 _DeletePrinterDriverW@12
0000C4D9 0000C57C _AddPerMachineConnectionW@16
0000C591 0000C618 _DeletePerMachineConnectionW@8
0000C629 0000C6CC _EnumPerMachineConnectionsW@20
0000C6E1 0000C78E _AddPrintProcessorW@16
0000C7A1 0000C867 _EnumPrintProcessorsW@28
0000C879 0000C94E _GetPrintProcessorDirectoryW@24
0000C979 0000CA2D _EnumPrintProcessorDatatypesW@28
0000CA41 0000CB30 _FlushPrinter@20
0000CB41 0000CBA1 _AsyncPrinterProperties@4
0000CBB9 0000CC73 _GetSpoolFileHandle@4
0000CC89 0000CD61 _CommitSpoolData@12
0000CD79 0000CE1E _CloseSpoolFileHandle@8
0000CE31 0000CF24 _EnumPrinterDataW@36
0000CF39 0000D037 _EnumPrinterDataExW@24
0000D049 0000D10E _EnumPrinterKeyW@20
0000D121 0000D1BE _DeletePrinterDataW@8
0000D1D1 0000D271 _DeletePrinterDataExW@12
0000D289 0000D326 _DeletePrinterKeyW@8
0000D339 0000D3DF _SetPrinterDataW@20
0000D3F1 0000D4AB _SetPrinterDataExW@24
0000D4C1 0000D4DF _SplDriverUnloadComplete@4
0000D4E4 0000D55B _AsyncDocumentPropertiesW@4
0000D571 0000D65B _AddFormW@12
0000D671 0000D73B _DeleteFormW@8
0000D751 0000D874 _GetFormW@24
0000D889 0000D976 _SetFormW@16
0000D989 0000DA64 _EnumPortsW@24
