000014B9 00001524 __CRT_INIT@12
00001529 0000158E __DllMainCRTStartup@12
00001593 000015DB _DllMain@12
00001618 00001653 __SEH_prolog
00001653 00001664 __SEH_epilog
00001669 00001682 @__security_check_cookie@4
0000168D 000016A7 ?SoftpubDllMain@@YGHPAXK0@Z
000016AC 000016B2 ?PutMessageInFile@SIPObjectFlat_@@MAEHPAUSIP_SUBJECTINFO_@@PAU_WIN_CERTIFICATE@@PAK@Z
000016C9 00001760 ?WintrustDllMain@@YGHPAXK0@Z
00001765 0000179D ?ASNDllMain@@YGHPAUHINSTANCE__@@KPAX@Z
000017A2 00001804 ?mscat32DllMain@@YGHPAXK0@Z
00001819 0000183F _CatAdminDllMain@12
00001928 00001951 _LockWaitToWrite@4
00001956 0000196A _LockDoneWriting@4
00001981 000019B7 _WTASN_Module_Startup@0
00001A9D 00001AC6 ___security_init_cookie
00001ACB 00001AF0 _InitializeListEvent@4
00001AF5 00001AFB _wcscpy
00001B00 00001B06 __initterm
00001B0B 00001B11 _I_CryptInstallAsn1Module@12
00001B16 00001B21 _InitializeListLock@8
00001B21 00001B69 ?LockInitialize@@YGHPAU_LIST_LOCK@@K@Z
00001B6E 00001BF5 ?_CatAdminSetupDefaults@@YGHXZ
00001C0F 00001C8F ?_CatAdminCreatePath@@YGPAGPBG0H@Z
00001C94 00001C9A _wcscat
00001C9F 00001CFA ?Initialize@CCatalogCache@@QAEHXZ
00001D11 00001D17 _I_CryptCreateLruCache@8
00001D2D 00001D44 _atexit
00001D49 00001D72 __onexit
00001D77 00001D7D ___dllonexit
00002F2C 00002F5B _WinVerifyTrust@12
00002F60 00002FDC ?_VerifyTrust@@YGJPAUHWND__@@PAU_GUID@@PAU_WINTRUST_DATA@@PAEPAKPAI@Z
00002FE1 00003014 ?IsCacheableWintrustCall@CCatalogCache@@QAEHPAU_WINTRUST_DATA@@@Z
00003019 00003026 ?FlushCache@CCatalogCache@@QAEXXZ
0000302B 00003031 _I_CryptFlushLruCache@12
000031AF 000031CF ??2@YAPAXI@Z
000031D4 000031F4 _CatalogNew@4
0000320B 0000323B _WTHelperGetProvSignerFromChain@16
00003240 00003256 ??3@YAXPAX@Z
0000334D 0000336E _TrustFreeDecode@8
00003373 000033BF _WintrustCertificateTrust@4
000033C4 00003427 _SoftpubLoadSignature@4
0000342C 000034E1 _SoftpubInitialize@4
000034E6 00003539 _SoftpubLoadMessage@4
0000353E 000035C0 ?_SetSubjectInfo@@YGHPAU_CRYPT_PROVIDER_DATA@@@Z
000035D1 000035D7 _CryptSIPRetrieveSubjectGuid@12
