000010F0 00001128 __CRT_INIT@12
00001130 00001197 __DllMainCRTStartup@12
000011A0 000011D2 _DllMain@12
0000120D 0000127A _RemovePerThreadEntry@4
000012A8 000012E1 _ldapFree@8
000012F0 0000134E _AddPerThreadEntry@4
00001360 0000139C _ldapMalloc@8
000013A1 000013BA @__security_check_cookie@4
000013BA 000013F5 __SEH_prolog
000013F5 00001406 __SEH_epilog
0000140B 00001431 _InitializeLdapCache@0
00001436 00001497 ?LdapUsePrivateHeap@@YGHXZ
0000149C 000014C5 ___security_init_cookie
000014EA 000016FA ?LdapClientInitialize@@YGHPAUHINSTANCE__@@@Z
00001711 00001784 _ReadRegIntegrityDefault@4
0000183F 00001845 __initterm
000018B7 000018D6 _FreeEntireLdapCache@0
000018DB 00001AC3 ?LdapClientTerminate@@YGHH@Z
00001AC8 00001AD6 _UnloadPingLibrary@0
00003659 000036ED _ldap_escape_filter_element
00003723 00003739 ??2CLdapBer@@SGPAXI@Z
0000373E 0000378C ??0CLdapBer@@QAE@K@Z
00003791 000037D8 ?CopyExistingBERStructure@CLdapBer@@QAEKPAV1@@Z
000037DD 0000380B ?GetCbLength@CLdapBer@@AAEXPAK@Z
00003810 00003840 ?AddInt@CLdapBer@@AAEXPAEKJ@Z
00003845 000038A4 ?HrStartWriteSequence@CLdapBer@@QAEKK@Z
000038A9 000038E2 ?HrSkipElement@CLdapBer@@QAEKXZ
000038E7 0000395F ?HrGetValue@CLdapBer@@QAEKPAJKE@Z
0000397B 000039A2 _DrainPendingCryptoStream@4
000039BF 00003A14 _AddToPendingList@8
00003A19 00003A54 _ClearPendingListForRequest@4
00003A59 00003AA8 _CloseLdapRequest@4
00003AAD 00003B1A ?FindLdapRequestEx@@YGPAUldap_request@@JPAVCRequestListHolder@@@Z
00003B70 00003B93 _LdapGetReceiveStructure@4
00003B98 00003BE4 _LdapFreeReceiveStructure@8
00003BE9 00003C30 _ldap_dup_stringW@12
00003C35 00003C7B _ldap_msgfree
00003C80 00003CCF _ldapWStringsIdentical@16
00003CD4 00003D6A _InsertErrorMessage@8
00003D7B 00003DBE ?FindRightParen@@YGJPAG@Z
00003E45 00003F2D ?HrAddEscapedValue@CLdapBer@@QAEKPAGK@Z
00003F32 00003FB8 ?HrAddBinaryValue@CLdapBer@@QAEKPAEKK@Z
