000011E0 0000121B __SEH_prolog
00001220 00001231 __SEH_epilog
00001236 0000126E __CRT_INIT@12
00001273 000012DA __DllMainCRTStartup@12
000012DF 0000130E _DllMain@12
0000134B 00001361 ?DestroyCurrentThread@DTHREAD@@SGXXZ
0000136D 00001385 ??3@YAXPAX@Z
00001395 000013B6 ??_GDTHREAD@@QAEPAXI@Z
000013BB 00001401 ??1DTHREAD@@QAE@XZ
000025F6 0000260E ??2@YAPAXI@Z
00002613 00002631 ?HasCatalogChanged@@YGHPAX@Z
00002636 0000267C ?Prolog_v1@@YGHPAPAVDPROCESS@@PAPAVDTHREAD@@@Z
00002681 00002698 ?SlowProlog@@YGHXZ
0000269D 000026B6 @__security_check_cookie@4
000026BB 000026D5 ?GetProtocolCatalog@DPROCESS@@QAEPAVDCATALOG@@XZ
000026DA 0000272C ?GetCountedCatalogItemFromAddressFamily@DCATALOG@@QAEHHPAPAVPROTO_CATALOG_ITEM@@@Z
00002731 00002793 ?CreateStringCopy_AnsiToUnicode@@YGPAGPBD@Z
00002798 000027C4 ?GetIp4Address@@YGHPBGHPAK@Z
000027C9 00002819 ?Dns_Ip6LiteralNameToAddressW@@YGHPAUsockaddr_in6@@PBG@Z
0000281E 00002883 _WSAStringToAddressW@20
00002899 00002A59 ?GetAddrInfoW@@YGHPBG0PBUaddrinfoW@@PAPAU1@@Z
00002A5E 00002A6A _WSASetLastError@4
00002A6F 00002B06 _getaddrinfo@16
00002B0B 00002B21 _freeaddrinfo@4
00002B26 00002B55 ??0DTHREAD@@QAE@XZ
00002B5A 00002BC5 ?CreateDThreadForCurrentThread@DTHREAD@@SGHPAVDPROCESS@@PAPAV1@@Z
00002BCA 00002C04 ?Initialize@DTHREAD@@QAEHPAVDPROCESS@@@Z
00002C09 00002C24 ?GetAsyncHelperDeviceID@DPROCESS@@QAEHPAPAX@Z
00002C29 00002C6A ?Prolog_v2@@YGHPAPAVDPROCESS@@PAPAVDTHREAD@@@Z
00002C6F 00002C7B _WSAWaitForMultipleEvents@20
00002C80 00002C8C _WSAResetEvent@4
00002C91 00002C9D _WSASetEvent@4
00002CA2 00002CAE ?InitializeAutodial@@YGXXZ
00002CB3 00002CBF _CreateStartupSynchronization@0
00002CC4 00002CED ___security_init_cookie
00002D76 00002D9E ?SockAsyncGlobalInitialize@@YGHXZ
00002DF1 00002DF7 __initterm
00002E13 00002E29 ?DropDSocketReference@DSOCKET@@QAEXXZ
00002E2E 00002E4E ?GetCountedDSocketFromSocket@DSOCKET@@SGPAV1@I@Z
00002E53 00002E6C _htons@4
00002E71 00002EA8 ?EnumerateCatalogItems@NSCATALOG@@QAEXP6GHPAXPAVNSCATALOGENTRY@@@Z0@Z
00002EAD 00002EDC _ntohl@4
00002EE1 00002F3F _inet_addr@4
00002F51 00002FF2 _sendto@24
00002FF7 000030A3 _recvfrom@24
000030A8 0000316B _select@20
00003181 00003208 _WSALookupServiceNextW@16
0000320D 0000326F ?LookupServiceNext@NSQUERY@@QAGHKPAKPAU_WSAQuerySetW@@@Z
00003274 00003294 ?LookupServiceNext@NSPROVIDERSTATE@@QAGHKPAKPAU_WSAQuerySetW@@@Z
