000027D8 000027FB DllEntryPoint
00002988 000029CD __SEH_prolog4
00002B80 00002B86 _initterm_e
00002CB4 00002CBA _lock
00002CBA 00002CC0 __dllonexit
00002CC9 00002CCF _unlock
00002D9C 00002DA2 _initterm
0000370F 00003742 __EH_prolog3
00003755 00003769 __EH_epilog3
000037EB 000037F1 memset
00003D4B 00003D4E _GetAllocCounters@0
000042A4 00004368 DllMain
00004562 00004C2E FMain
00004C4A 00004C89 DllGetClassObject
000071E4 0000720F __alloca_probe
000077E0 000077E6 GetSystemDefaultLangID
00009636 0000963C msptls_84
00009691 00009697 msptls_85
0000969E 000096A4 msptls_87
000096AB 000096B1 msptls_83
000096B8 000096BE msptls_86
000096C8 000096CE msptls_68
00009884 0000988A msptls_1
000099EA 000099F0 memcpy
00009B5C 00009B62 msptls_107
00009B6C 00009B72 msptls_104
00009B7C 00009B82 msptls_105
00009B8C 00009B92 msptls_106
0000A1F7 0000A1FD msptls_219
0000A207 0000A20D msptls_67
0000A217 0000A21D msptls_124
000153FC 00015444 __SEH_prolog4_GS
00016E38 00016E6E __EH_prolog3_catch
00016F50 00016F56 oart_3132
0001AE22 0001AE28 msptls_103
0001CE94 0001CEBD wdGetApplicationObject_0
00020393 000203CC __EH_prolog3_catch_GS
00026FAA 00026FAD nullsub_1
0003295C 00032992 __EH_prolog3_GS
00034F1B 00034F1C nullsub_18
0003916E 00039171 nullsub_2
0003EBF8 0003EBFE _setjmp3
0003F102 0003F108 floor
0005615B 00056161 oart_6283
00070192 00070198 MSO_9253
000702B0 000702B1 nullsub_23
00071778 0007177E MSO_4320
000717C8 000717CE MSO_7448
00071AC3 00071AC9 MSO_5358
00071D1E 00071D24 MSO_9353
00071D2E 00071D34 oart_4641
00071D34 00071D3A MSO_5852
0007209A 000720A0 MSO_7725
0007237D 00072383 MSO_7506
000723CB 000723D1 MSO_7101
000723DB 000723E1 MSO_7240
000736AB 000736B1 MSO_9272
000736BB 000736C1 MSO_5317
000736CB 000736D1 MSO_7739
000736DB 000736E1 MSO_7737
00073723 00073729 MSO_4212
0007373E 00073744 MSO_9266
0007374E 00073754 MSO_4712
00073928 0007392E MSO_9350
00074828 0007482E MSO_9273
000757A1 000757A7 MSO_7123
00075939 0007593F MSO_9274
00077F55 00077F5B __RTDynamicCast
0007A8B8 0007A8BE oart_3223
0007AFF2 0007AFF8 oart_3224
0007F302 0007F3BF StartAddress
0009E6A6 0009E6AC msptls_127
0009E97F 0009E985 msptls_244
000A793F 000A7945 msptls_3
000B808A 000B808D nullsub_3
000BA67E 000BA684 msptls_96
000BA71B 000BA721 msptls_97
000BB364 000BB36A msptls_66
000BBE0D 000BBE13 msptls_4
000BD59C 000BD5A2 msptls_91
000BF4E4 000BF4EA msptls_189
000BF7E5 000BF7EB msptls_193
000BFB1E 000BFB24 msptls_194
000BFB42 000BFB48 msptls_200
000BFEC9 000BFECF msptls_201
000C0034 000C003A msptls_203
000C00AD 000C00B3 msptls_204
000C05CB 000C05D1 msptls_211
000C0A96 000C0A9C msptls_212
000C3F75 000C3F7B msptls_5
000CB278 000CB27E msptls_132
000CB577 000CB57D oart_3620
000CB57D 000CB583 msptls_125
000CB6E5 000CB6EB oart_4781
000CC768 000CC76E oart_3605
000CC79D 000CC7A3 oart_4766
000CC86C 000CC872 oart_3607
000CC88B 000CC891 oart_4768
000CDCF5 000CDCFB oart_2478
000CFB0E 000CFB14 oart_4545
000DE838 000DE83E oart_3619
000DE8BB 000DE8C1 oart_4780
000EC3A4 000EC3AA msptls_63
000FC546 000FC54C msptls_48
000FC556 000FC55C msptls_55
0010148A 00101490 msptls_119
0010B22D 0010B22E nullsub_4
00110C69 00110C6F _CIsqrt
0011AFFF 0011B005 MSO_4765
0011C8F3 0011C8F9 MSO_4672
00123624 00123625 nullsub_5
00132EB5 00132F53 LocaleEnumProc
0013C227 0013C22D msptls_2
0013D436 0013D43C oart_3952
0013E887 0013E88D MSO_4931
0013E8E3 0013E8E9 MSO_7469
0013E8F3 0013E8F9 MSO_9267_0
0013EAD6 0013EADC MSO_9267
00141A6A 00141A70 MSO_5447
00141B16 00141B1C MSO_7171
00141C4A 00141C50 MSO_5456
001422EB 001422F1 MSO_7110
001422FB 00142301 MSO_7145
00142345 0014234B MSO_7170
00142355 0014235B MSO_7141
001438B6 001438BC MSO_2943
00144DC4 00144DCA MSO_4806
00144F38 00144F3E MSO_4807
0014BAEE 0014BAF4 oart_5282
00155571 00155577 oart_5073
001563AD 001563B3 oart_3454
00156B9A 00156BA0 oart_5269
00156DA7 00156DAD oart_4286
0015796C 00157972 oart_3076
00158006 0015800C __CxxLongjmpUnwind
0015AA3F 0015AA45 oart_5364
00196778 0019677B nullsub_33
0020C16C 0020C16D nullsub_34
00210E38 00210E39 nullsub_35
002113A0 002113A1 nullsub_36
002113C0 002113C1 nullsub_37
0024E668 0024E669 nullsub_6
00261B0E 00261B14 MSO_4392
00262908 0026290E MSO_9348
00263C16 00263C1C msptls_94
00263D8E 00263D8F nullsub_32
00264BB8 00264BBE msptls_93
002EDB52 002EDB53 nullsub_14
002EF3AF 002EF3B0 nullsub_15
002F249D 002F249E nullsub_16
002FC65E 002FC65F nullsub_17
00306463 00306464 nullsub_21
0030782D 00307833 msptls_110
0030D0A8 0030D0A9 nullsub_19
00312E13 00312E14 nullsub_20
0031421F 00314220 nullsub_27
0031D5FA 0031D5FB nullsub_29
003261C3 003261C6 nullsub_7
0037B40F 0037B410 nullsub_30
00381C06 00381C0B wdGetApplicationObject
